timestamp_iso,timestamp_epoch,token_id,slug,outcome,bestBid,bestAsk,spread,mid,microprice,imbalance_topN,bid_depth_topN,ask_depth_topN,spread_percentile_60s,bid_depth_total,ask_depth_total,tape_ts_epoch,tape_source
2026-03-06T19:02:16Z,1772823736,5989222319425208530096625493244969872180540108044038522269239934826828801892,solana-up-or-down-march-6-2pm-et,Down,0.45,0.46,0.01,0.455,0.4509508415,0.4860917491,2698.83,2853.27,90.9090909091,4545.83,4883.27,1772823736,CLOB_BOOK
2026-03-06T19:02:16Z,1772823736,35637801070391585309281248245184294350291414545260807921128519126494476255775,bitcoin-up-or-down-march-6-2pm-et,Down,0.37,0.38,0.01,0.375,0.3735629784,0.3869732358,5584.79,8847.19,90.9090909091,13873.69,14119.26,1772823736,CLOB_BOOK
2026-03-06T19:02:16Z,1772823736,108141103146448992288683731106998019573851560549384814626747926830643486174504,ethereum-up-or-down-march-6-2pm-et,Up,0.61,0.62,0.01,0.615,0.6132786885,0.5148975478,5200.63,4899.69,100,8624.41,8372.69,1772823736,CLOB_BOOK
2026-03-06T19:02:18Z,1772823738,35531914449530778203692157539650308378498968905186000490478336619783194020949,bitcoin-up-or-down-march-6-1pm-et,Down,,0.001,,,,0,0,677353.9500000001,,0,680569.7300000001,1772823738,CLOB_BOOK
2026-03-06T19:02:18Z,1772823738,64143571891703401153242308754714439517397464054405527790807580164944483736294,solana-up-or-down-march-6-1pm-et,Up,0.999,,,,,1,637536.24,0,,637925.6800000001,0,1772823738,CLOB_BOOK
2026-03-06T19:02:18Z,1772823738,50213630518181866833234265638404914996318633868766983671832149276478448533182,ethereum-up-or-down-march-6-1pm-et,Up,0.999,,,,,1,587445.3300000001,0,,587854.3700000001,0,1772823738,CLOB_BOOK
2026-03-06T19:02:18Z,1772823738,79886822364947379073964662689073310927127450520910509636512720498042444502050,bitcoin-up-or-down-march-6-1pm-et,Up,0.999,,,,,1,677353.9500000001,0,,680569.7300000001,0,1772823738,CLOB_BOOK
2026-03-06T19:02:18Z,1772823738,38360456427327464740144520603670178598372596964414578979826661580176855655062,solana-up-or-down-march-6-2pm-et,Up,0.54,0.55,0.01,0.545,0.5464,0.4899446614,2828.72,2944.83,100,4858.72,4786.83,1772823738,CLOB_BOOK
2026-03-06T19:02:18Z,1772823738,70244097016650638056943416486156963145798825895939348226262470478186180767038,ethereum-up-or-down-march-6-2pm-et,Down,0.39,0.4,0.01,0.395,0.3904563233,0.4998463242,5236.69,5239.91,100,8709.69,8654.41,1772823738,CLOB_BOOK
2026-03-06T19:02:18Z,1772823738,76871165663812550761322588615474071902931517921531572365633529117772138723752,xrp-up-or-down-march-6-2pm-et,Up,0.53,0.54,0.01,0.535,0.5306666667,0.4296270344,1900.67,2523.33,86.9565217391,2985.67,3264.33,1772823738,CLOB_BOOK
2026-03-06T19:02:18Z,1772823738,5989222319425208530096625493244969872180540108044038522269239934826828801892,solana-up-or-down-march-6-2pm-et,Down,0.45,0.46,0.01,0.455,0.4536,0.5100553386,2944.83,2828.72,95.4545454545,4786.83,4858.72,1772823738,CLOB_BOOK
2026-03-06T19:02:18Z,1772823738,35637801070391585309281248245184294350291414545260807921128519126494476255775,bitcoin-up-or-down-march-6-2pm-et,Down,0.38,0.39,0.01,0.385,0.3805574136,0.3972483521,5440.92,8255.6,90.9090909091,13697.82,13625.06,1772823738,CLOB_BOOK
2026-03-06T19:02:18Z,1772823738,108141103146448992288683731106998019573851560549384814626747926830643486174504,ethereum-up-or-down-march-6-2pm-et,Up,0.6,0.61,0.01,0.605,0.6094799406,0.5087079752,4960.91,4791.07,100,8375.41,8224.07,1772823738,CLOB_BOOK
2026-03-06T19:02:21Z,1772823741,35531914449530778203692157539650308378498968905186000490478336619783194020949,bitcoin-up-or-down-march-6-1pm-et,Down,,0.001,,,,0,0,677353.9500000001,,0,680569.7300000001,1772823741,CLOB_BOOK
2026-03-06T19:02:21Z,1772823741,64143571891703401153242308754714439517397464054405527790807580164944483736294,solana-up-or-down-march-6-1pm-et,Up,0.999,,,,,1,637536.24,0,,637925.6800000001,0,1772823741,CLOB_BOOK
2026-03-06T19:02:21Z,1772823741,50213630518181866833234265638404914996318633868766983671832149276478448533182,ethereum-up-or-down-march-6-1pm-et,Up,0.999,,,,,1,587445.3300000001,0,,587854.3700000001,0,1772823741,CLOB_BOOK
2026-03-06T19:02:21Z,1772823741,79886822364947379073964662689073310927127450520910509636512720498042444502050,bitcoin-up-or-down-march-6-1pm-et,Up,0.999,,,,,1,677353.9500000001,0,,680569.7300000001,0,1772823741,CLOB_BOOK
2026-03-06T19:02:21Z,1772823741,38360456427327464740144520603670178598372596964414578979826661580176855655062,solana-up-or-down-march-6-2pm-et,Up,0.53,0.54,0.01,0.535,0.5363638567,0.429639839,2347.29,3116.1,100,4382.29,4875.1,1772823741,CLOB_BOOK
2026-03-06T19:02:21Z,1772823741,70244097016650638056943416486156963145798825895939348226262470478186180767038,ethereum-up-or-down-march-6-2pm-et,Down,0.41,0.42,0.01,0.415,0.4104332166,0.5305661473,5407.18,4784.16,100,9199.18,8198.66,1772823741,CLOB_BOOK
2026-03-06T19:02:21Z,1772823741,76871165663812550761322588615474071902931517921531572365633529117772138723752,xrp-up-or-down-march-6-2pm-et,Up,0.52,0.53,0.01,0.525,0.5219682844,0.4198695959,1725.79,2384.51,86.9565217391,2810.79,3246.51,1772823741,CLOB_BOOK
2026-03-06T19:02:21Z,1772823741,5989222319425208530096625493244969872180540108044038522269239934826828801892,solana-up-or-down-march-6-2pm-et,Down,0.46,0.47,0.01,0.465,0.4636361433,0.570360161,3116.1,2347.29,95.4545454545,4875.1,4382.29,1772823741,CLOB_BOOK
2026-03-06T19:02:21Z,1772823741,35637801070391585309281248245184294350291414545260807921128519126494476255775,bitcoin-up-or-down-march-6-2pm-et,Down,0.39,0.4,0.01,0.395,0.3988001443,0.6493335135,9468.38,5113.31,90.9090909091,13974.28,13897.35,1772823741,CLOB_BOOK
2026-03-06T19:02:21Z,1772823741,108141103146448992288683731106998019573851560549384814626747926830643486174504,ethereum-up-or-down-march-6-2pm-et,Up,0.58,0.59,0.01,0.585,0.5895720801,0.4709860147,4814.16,5407.29,100,8228.66,9199.29,1772823741,CLOB_BOOK
2026-03-06T19:02:24Z,1772823744,35531914449530778203692157539650308378498968905186000490478336619783194020949,bitcoin-up-or-down-march-6-1pm-et,Down,,0.001,,,,0,0,677353.9500000001,,0,680569.7300000001,1772823744,CLOB_BOOK
2026-03-06T19:02:24Z,1772823744,64143571891703401153242308754714439517397464054405527790807580164944483736294,solana-up-or-down-march-6-1pm-et,Up,0.999,,,,,1,637536.24,0,,637925.6800000001,0,1772823744,CLOB_BOOK
2026-03-06T19:02:24Z,1772823744,50213630518181866833234265638404914996318633868766983671832149276478448533182,ethereum-up-or-down-march-6-1pm-et,Up,0.999,,,,,1,587445.3300000001,0,,587854.3700000001,0,1772823744,CLOB_BOOK
2026-03-06T19:02:24Z,1772823744,79886822364947379073964662689073310927127450520910509636512720498042444502050,bitcoin-up-or-down-march-6-1pm-et,Up,0.999,,,,,1,677353.9500000001,0,,680569.7300000001,0,1772823744,CLOB_BOOK
2026-03-06T19:02:24Z,1772823744,38360456427327464740144520603670178598372596964414578979826661580176855655062,solana-up-or-down-march-6-2pm-et,Up,0.52,0.53,0.01,0.525,0.5244293302,0.423647753,2444.85,3326.1,100,4479.85,5256.1,1772823744,CLOB_BOOK
2026-03-06T19:02:24Z,1772823744,70244097016650638056943416486156963145798825895939348226262470478186180767038,ethereum-up-or-down-march-6-2pm-et,Down,0.41,0.42,0.01,0.415,0.4165811966,0.5309680897,5477.35,4838.43,100,9269.35,8257.93,1772823744,CLOB_BOOK
2026-03-06T19:02:24Z,1772823744,76871165663812550761322588615474071902931517921531572365633529117772138723752,xrp-up-or-down-march-6-2pm-et,Up,0.52,0.53,0.01,0.525,0.5211427793,0.4167826471,1790.79,2505.91,86.9565217391,2875.79,3367.91,1772823744,CLOB_BOOK
2026-03-06T19:02:24Z,1772823744,5989222319425208530096625493244969872180540108044038522269239934826828801892,solana-up-or-down-march-6-2pm-et,Down,0.47,0.48,0.01,0.475,0.4755706698,0.5756168687,3316.1,2444.85,100,5246.1,4479.85,1772823744,CLOB_BOOK
2026-03-06T19:02:24Z,1772823744,35637801070391585309281248245184294350291414545260807921128519126494476255775,bitcoin-up-or-down-march-6-2pm-et,Down,0.39,0.4,0.01,0.395,0.3974411541,0.6347015432,9396.75,5408.24,95.4545454545,13938.65,14194.28,1772823744,CLOB_BOOK
2026-03-06T19:02:24Z,1772823744,108141103146448992288683731106998019573851560549384814626747926830643486174504,ethereum-up-or-down-march-6-2pm-et,Up,0.58,0.59,0.01,0.585,0.5869753086,0.4696994306,4858.43,5485.27,100,8277.93,9277.27,1772823744,CLOB_BOOK
2026-03-06T19:02:27Z,1772823747,35531914449530778203692157539650308378498968905186000490478336619783194020949,bitcoin-up-or-down-march-6-1pm-et,Down,,0.001,,,,0,0,677353.9500000001,,0,680569.7300000001,1772823747,CLOB_BOOK
